alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
BLR,"['Belarusian', 'Russian']",9109280,94.2618,2024,,,,6.959484051574066,0.942618,,5.334453751150931,0.5,False,34.994736426612164,17.497368213306082,34.994736426612164,34.994736426612164,38,False,Belarus,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
JOR,['Arabic'],11734000,92.5344,2023,,,,7.069446083880313,0.925344,,5.334453751150931,0.5,False,34.89623349397516,17.44811674698758,34.89623349397516,34.89623349397516,39,False,Jordan,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
SWE,['Swedish'],10605098,95.5293,2024,2025 Q2 P,150000.0,90.0,7.025514686116378,0.9552930000000001,5.176091259055681,5.176091259055681,1.1,False,34.73894828371252,38.212843112083775,34.73894828371252,34.73894828371252,40,False,Sweden,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
IRL,"['English', 'Irish']",5458600,96.4974,2023,,,,6.7370812708662235,0.964974,,5.334453751150931,1.5,False,34.67986135631978,52.01979203447968,34.67986135631978,34.67986135631978,41,False,Ireland,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
QAT,['Arabic'],3173024,99.6528,2023,,,,6.501473357013159,0.996528,,5.334453751150931,0.5,False,34.561393696696285,17.280696848348143,34.561393696696285,34.561393696696285,42,False,Qatar,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
OMN,['Arabic'],5343630,95.2517,2024,,,,6.727836379384905,0.952517,,5.334453751150931,0.5,False,34.18519885925456,17.09259942962728,34.18519885925456,34.18519885925456,43,False,Oman,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
SGP,"['English', 'Chinese', 'Malay', 'Tamil']",6110200,94.3776,2024,,,,6.786055425868549,0.9437760000000001,,5.334453751150931,1.5,False,34.16459571067208,51.246893566008126,34.16459571067208,34.16459571067208,44,False,Singapore,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
DOM,['Spanish'],10771504,91.0022,2024,,,,7.032276347058217,0.910022,,5.334453751150931,1.1,False,34.137976467976806,37.55177411477449,34.137976467976806,34.137976467976806,45,False,Dominican Republic,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BRA,['Portuguese'],213421037,84.4635,2024,2025 Q1 P,65000.0,115.0,8.329237225785352,0.8446349999999999,4.812913356642856,4.812913356642856,1.1,False,33.859640962522136,37.24560505877435,33.859640962522136,33.859640962522136,46,False,Brazil,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
IRN,['Persian (Farsi)'],85961000,79.6309,2023,,,,7.934301459075755,0.7963089999999999,,5.334453751150931,0.5,False,33.703909163910616,16.851954581955308,33.703909163910616,33.703909163910616,47,False,"Iran, Islamic Republic of",,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
