alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id
SLV,['Spanish'],6029976,67.6558,2023,,,,6.78031558360146,0.676558,,5.334453751150931,1.1,26.91767723684626,89,False,El Salvador,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MCO,['French'],38423,99.1497,2023,,,,4.584591270795872,0.991497,,5.334453751150931,1.1,26.673172093978987,90,True,Monaco,Monaco,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SUR,['Dutch'],616500,78.3958,2023,,,,5.789933080931751,0.7839579999999999,,5.334453751150931,1.1,26.634771781905517,91,True,Suriname,Suriname,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
PAN,['Spanish'],4064780,68.5485,2023,,,,6.60903704504163,0.685485,,5.334453751150931,1.1,26.583905314821305,92,True,Panama,Panama,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
NRU,"['English', 'Nauru']",11680,81.6554,2020,,,,4.067442842776381,0.816554,,5.334453751150931,1.5,26.575875627556165,93,True,Nauru,Nauru,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LIE,['German'],40900,97.3444,2023,,,,4.611723308007342,0.973444,,5.334453751150931,1.1,26.34249187652006,94,True,Liechtenstein,Liechtenstein,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
NCL,['French'],264596,82.0058,2017,,,,5.422583274503567,0.820058,,5.334453751150931,1.1,26.093566271978865,95,True,New Caledonia,New Caledonia,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
SEN,['French'],18593258,60.6122,2023,,,,7.26935549560564,0.606122,,5.334453751150931,1.1,25.85464593833683,96,False,Senegal,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
VIR,['English'],87146,64.3775,2017,,,,4.940247457793744,0.643775,,5.334453751150931,1.5,25.448607535490858,97,False,"Virgin Islands, U.S.",,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CMR,"['English', 'French']",29442327,41.9088,2023,,,,7.468972131865236,0.419088,,5.334453751150931,1.5,25.04651336722077,98,False,Cameroon,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
WSM,"['English', 'Samoan']",205557,58.1386,2023,,,,5.312932270752029,0.581386,,5.334453751150931,1.5,24.716106757441544,99,False,Samoa,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
CPV,['Portuguese'],491233,73.539,2023,,,,5.6912875341031945,0.73539,,5.334453751150931,1.1,24.559011745737237,100,False,Cabo Verde,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
MHL,"['English', 'Marshallese']",42418,65.7177,2023,,,,4.627550187767521,0.6571769999999999,,5.334453751150931,1.5,24.334067384765433,101,False,Marshall Islands,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
LSO,"['English', 'Sotho']",2116427,47.991,2023,,,,6.325603293342072,0.47991,,5.334453751150931,1.5,24.29086412469291,102,False,Lesotho,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
TUV,"['English', 'Tuvaluan']",10643,74.3146,2023,,,,4.027064062151045,0.743146,,5.334453751150931,1.5,23.94660200205554,103,False,Tuvalu,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
HND,['Spanish'],9892632,58.2789,2023,,,,6.995311853882634,0.582789,,5.334453751150931,1.1,23.922197173362168,104,False,Honduras,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
GTM,['Spanish'],18079810,56.0535,2023,,,,7.25719386217999,0.560535,,5.334453751150931,1.1,23.870092350511126,105,False,Guatemala,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
NGA,['English'],223800000,39.2136,2023,2025 Q2 P,68000.0,57.0,8.34986008219233,0.392136,4.832508912706237,4.832508912706237,1.5,23.734486238768625,106,False,Nigeria,,25-05-2025,False,lang-fix-smoke,lang-fix-smoke_20251219T105801Z
