trial,seed,seeds,seed_start,eng,euro,other,uk_missing,uk_floor,zone_start,zone_end,wrong_at_rank_test_mean,wrong_at_rank_test_median,wrong_at_rank_train_mean,incorrect_zone_closeness_test_mean,incorrect_zone_closeness_test_median,incorrect_zone_closeness_train_mean,correct_zone_closeness_test_mean,correct_zone_closeness_test_median,correct_zone_closeness_train_mean,correct_overlap_test_mean,correct_overlap_train_mean,incorrect_count,correct_count
66,1,20,0,1.1480363365415758,1.0499399766710404,0.6626728274379982,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.056973921038860544,0.036174386410235466,0.050908219121426464,0.09136904761904761,0.08630952380952381,0.09679232804232804,0.0,0.0,26,4
67,1,20,0,1.4358107537117775,1.1699034808904343,0.5090464918202359,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.030196015488587753,0.02475241942050955,0.03172047547332289,0.075625,0.075,0.08270833333333333,0.0,0.0,26,4
68,1,20,0,1.1004265057203797,0.9983222115288802,0.9935248589640131,p10,0.05,90.0,95.0,0.009672197188982722,0.010752688172043012,0.022588354072792017,0.18937896374957874,0.2072414970032939,0.19045056316356657,0.12788516746411482,0.17666666666666667,0.09782456140350877,0.0,0.0,26,4
69,1,20,0,1.391350187864688,1.0017286943552801,0.6065148981904069,p10,0.05,90.0,95.0,0.007118967988533206,0.010869565217391304,0.014739608217869089,0.12865740660755276,0.16106116690841993,0.1158901446870473,0.3377392344497608,0.34559409888357256,0.35344896331738435,0.5,0.5,26,4
70,1,20,0,1.3372275348618816,1.1513103210461892,0.9660937359468136,p10,0.05,90.0,95.0,0.002777777777777778,0.0,0.008333333333333333,0.08294236738730222,0.05156941285386321,0.0972813013015626,0.056893382352941176,0.05718954248366013,0.05237949346405228,0.0,0.0,26,4
71,1,20,0,1.1719249073954099,1.1647179607399392,0.8435550910768287,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.07525227830657089,0.06323305252258339,0.08316573589047664,0.5244747899159664,0.5714285714285714,0.5616596638655462,0.95,1.05,26,4
72,1,20,0,1.242249361306247,1.1956524689477392,0.6173202174355192,p10,0.05,90.0,95.0,0.003763440860215054,0.0,0.006989247311827957,0.07830283522561285,0.02814057197818724,0.07052775098671775,0.0727435064935065,0.07272727272727272,0.07736471861471862,0.0,0.0,26,4
73,1,20,0,1.3627325931206362,0.9254040691249453,0.5848470708971938,p10,0.05,90.0,95.0,0.0047872340425531915,0.0,0.005851063829787234,0.10548767509609705,0.056698019401192776,0.07363840174346761,0.08115530303030304,0.08380681818181818,0.08645833333333333,0.0,0.0,26,4
74,1,20,0,1.4554938917540339,0.9638904584974273,0.8795580913582202,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.07469414876658763,0.06715054318855021,0.07562798911332176,0.023336291531192845,0.02506265664160401,0.023052378623924678,0.0,0.0,26,4
75,1,20,0,1.3001044150661247,1.1523396587117565,0.6840539997028245,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03254060962381022,0.03062552482015475,0.02994613403269277,0.08489285714285714,0.08333333333333333,0.08986904761904761,0.0,0.0,26,4
