alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli
MLT,"['English', 'Maltese']",574250,92.0727,2023,2025 Q2 P,158000.0,153.0,5.759101003867063,0.920727,False,5.1986598356449765,p10,0.05,4.815572229111593,5.1986598356449765,0.5020341654314607,1.5,False,2.662066178816801,3.993099268225202,2.662066178816801,2.662066178816801,38,False,Malta,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
FIN,"['Finnish', 'Swedish']",5650325,93.5139,2023,2025 Q2 P,86000.0,70.0,6.752073428641965,0.935139,False,4.9345035011500435,p10,0.05,4.815572229111593,4.9345035011500435,0.41797006775466555,1.1,False,2.639116171082247,2.903027788190472,2.639116171082247,2.639116171082247,39,False,Finland,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
TUR,['Turkish'],85664944,87.3079,2024,,,,7.932803135318054,0.873079,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.632710089158021,1.3163550445790104,2.632710089158021,2.632710089158021,40,False,Türkiye,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
SVK,['Slovak'],5413813,89.8251,2024,2025 Q1 P,97000.0,37.0,6.733503250608721,0.898251,False,4.986776211505866,p10,0.05,4.815572229111593,4.986776211505866,0.4346051344002734,1.1,False,2.628655276709891,2.8915208043808804,2.628655276709891,2.628655276709891,41,False,Slovakia,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
CHL,['Spanish'],20206953,94.4574,2023,,,,7.3055008313257455,0.944574,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.623063476426784,2.8853698240694627,2.623063476426784,2.623063476426784,42,False,Chile,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ARG,"['Guaraní', 'Spanish']",46735004,89.6672,2024,,,,7.6696422841965495,0.8966719999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.6141562121994517,2.875571833419397,2.6141562121994517,2.6141562121994517,43,False,Argentina,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
KAZ,"['Kazakh', 'Russian']",20426568,93.3917,2024,,,,7.310195404132739,0.933917,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.5951357802794424,1.2975678901397212,2.5951357802794424,2.5951357802794424,44,False,Kazakhstan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
ISR,"['Arabic', 'Hebrew']",10134800,88.1824,2024,2025 Q2 P,87000.0,94.0,7.00581518275242,0.881824,False,4.939524244480526,p10,0.05,4.815572229111593,4.939524244480526,0.41956784983530654,0.5,False,2.5920465276805906,1.2960232638402953,2.5920465276805906,2.5920465276805906,45,False,Israel,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
PHL,"['English', 'Filipino']",114123600,83.7661,2023,,,,8.057375462910338,0.837661,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.565575007512632,3.848362511268948,2.565575007512632,2.565575007512632,46,False,Philippines,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
UZB,"['Russian', 'Uzbek']",37859698,89.0136,2023,,,,7.578177145352642,0.8901359999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.5641530111865167,1.2820765055932584,2.5641530111865167,2.5641530111865167,47,False,Uzbekistan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
