alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
TUV,"['English', 'Tuvaluan']",10643,74.3146,2023,,,,4.027064062151045,0.743146,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,92,True,Tuvalu,Tuvalu,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TWN,['Chinese'],23317031,,,,,,7.3676732501004665,,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,93,True,"Taiwan, Province of China","Taiwan, Province of China",25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
TZA,"['English', 'Swahili']",68153004,29.0638,2023,,,,7.833485003118178,0.290638,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,94,True,"Tanzania, United Republic of","Tanzania, United Republic of",25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
UGA,"['English', 'Swahili']",45905417,8.94983,2024,,,,7.661863936831315,0.0894983,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,95,True,Uganda,Uganda,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
UKR,['Ukrainian'],32862000,82.3755,2023,,,,7.516693991312429,0.823755,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,96,False,Ukraine,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
UMI,['English'],0,,,,,,,,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,97,False,United States Minor Outlying Islands,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
URY,['Spanish'],3499451,91.9911,2024,,,,6.543999916815401,0.919911,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,98,False,Uruguay,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
UZB,"['Russian', 'Uzbek']",37859698,89.0136,2023,,,,7.578177145352642,0.8901359999999999,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,99,False,Uzbekistan,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
VAT,"['Italian', 'Latin']",882,,,,,,2.94546858513182,,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,100,False,Holy See (Vatican City State),,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
VCT,['English'],110872,75.9927,2023,,,,5.044821881759084,0.759927,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,101,False,Saint Vincent and the Grenadines,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
VEN,['Spanish'],28517000,61.6,2017,,,,7.455103835626699,0.616,True,0.0,0.0,1.1,False,0.0,0.0,0.0,0.0,102,False,"Venezuela, Bolivarian Republic of",,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
VGB,['English'],39471,77.7043,2017,,,,4.596278129409967,0.777043,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,103,False,"Virgin Islands, British",,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
VIR,['English'],87146,64.3775,2017,,,,4.940247457793744,0.643775,True,0.0,0.0,1.5,False,0.0,0.0,0.0,0.0,104,False,"Virgin Islands, U.S.",,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
VNM,['Vietnamese'],101343800,84.15,2024,,,,8.005797184621029,0.8415,True,0.0,0.0,0.5,False,0.0,0.0,0.0,0.0,105,False,Viet Nam,,25-05-2025,False,corrected-uk-score-1,corrected-uk-score-1_20251219T112007Z,no-language
