alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
CMR,"['English', 'French']",29442327,41.9088,2023,,,,7.468972131865236,0.419088,,5.334453751150931,1.5,True,16.69767557814718,25.04651336722077,16.69767557814718,25.04651336722077,98,False,Cameroon,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
WSM,"['English', 'Samoan']",205557,58.1386,2023,,,,5.312932270752029,0.581386,,5.334453751150931,1.5,True,16.47740450496103,24.716106757441544,16.47740450496103,24.716106757441544,99,False,Samoa,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
CPV,['Portuguese'],491233,73.539,2023,,,,5.6912875341031945,0.73539,,5.334453751150931,1.1,True,22.326374314306577,24.559011745737237,22.326374314306577,24.559011745737237,100,False,Cabo Verde,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MHL,"['English', 'Marshallese']",42418,65.7177,2023,,,,4.627550187767521,0.6571769999999999,,5.334453751150931,1.5,True,16.222711589843623,24.334067384765433,16.222711589843623,24.334067384765433,101,False,Marshall Islands,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
LSO,"['English', 'Sotho']",2116427,47.991,2023,,,,6.325603293342072,0.47991,,5.334453751150931,1.5,True,16.19390941646194,24.29086412469291,16.19390941646194,24.29086412469291,102,False,Lesotho,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
TUV,"['English', 'Tuvaluan']",10643,74.3146,2023,,,,4.027064062151045,0.743146,,5.334453751150931,1.5,True,15.964401334703693,23.94660200205554,15.964401334703693,23.94660200205554,103,False,Tuvalu,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
HND,['Spanish'],9892632,58.2789,2023,,,,6.995311853882634,0.582789,,5.334453751150931,1.1,True,21.747451975783786,23.922197173362168,21.747451975783786,23.922197173362168,104,False,Honduras,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
GTM,['Spanish'],18079810,56.0535,2023,,,,7.25719386217999,0.560535,,5.334453751150931,1.1,True,21.70008395501011,23.870092350511126,21.70008395501011,23.870092350511126,105,False,Guatemala,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
NGA,['English'],223800000,39.2136,2023,2025 Q2 P,68000.0,57.0,8.34986008219233,0.392136,4.832508912706237,4.832508912706237,1.5,True,15.82299082584575,23.734486238768625,15.82299082584575,23.734486238768625,106,False,Nigeria,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
GMB,['English'],2422712,45.9137,2023,,,,6.384301790429396,0.45913699999999996,,5.334453751150931,1.5,True,15.636719825686901,23.45507973853035,15.636719825686901,23.45507973853035,107,False,Gambia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
TON,"['English', 'Tongan']",100179,58.5334,2023,,,,5.0007766921902945,0.585334,,5.334453751150931,1.5,True,15.614610932431521,23.421916398647284,15.614610932431521,23.421916398647284,108,False,Tonga,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
NIC,['Spanish'],6803886,58.2314,2023,,,,6.832757028340634,0.582314,,5.334453751150931,1.1,True,21.224778336108333,23.347256169719167,21.224778336108333,23.347256169719167,109,False,Nicaragua,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
PYF,['French'],279500,72.7039,2017,,,,5.446381812222442,0.727039,,5.334453751150931,1.1,True,21.123007148277868,23.235307863105657,21.123007148277868,23.235307863105657,110,False,French Polynesia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SMR,['Italian'],34132,87.0278,2023,,,,4.533161736960601,0.870278,,5.334453751150931,1.1,True,21.04501179987769,23.149512979865463,21.04501179987769,23.149512979865463,111,False,San Marino,,25-05-2025,True,with-lang,with-lang_20251219T111037Z,with-language
DJI,"['Arabic', 'French']",1066809,65.0248,2023,,,,6.028086670904087,0.6502479999999999,,5.334453751150931,1.1,True,20.909732034303058,23.000705237733367,20.909732034303058,23.000705237733367,112,False,Djibouti,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
CHN,['Chinese'],1408280000,92.0,2024,,,,9.14868901159969,0.92,,5.334453751150931,0.5,True,44.89899774275796,22.44949887137898,44.89899774275796,22.44949887137898,113,False,China,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ZWE,"['Chibarwe', 'English', 'Kalanga', 'Khoisan', 'Ndau', 'Northern Ndebele', 'Chewa', 'Shona', 'Sotho', 'Tonga', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zimbabwean Sign Language']",17073087,38.4266,2023,,,,7.232312053385075,0.384266,,5.334453751150931,1.5,True,14.825149113954128,22.237723670931192,14.825149113954128,22.237723670931192,114,False,Zimbabwe,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
GNQ,"['French', 'Portuguese', 'Spanish']",1668768,60.3661,2023,,,,6.222395963208134,0.603661,,5.334453751150931,1.1,True,20.03736997089543,22.041106967984973,20.03736997089543,22.041106967984973,115,False,Equatorial Guinea,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
KEN,"['English', 'Swahili']",53330978,34.9762,2024,,,,7.726979547982685,0.34976199999999996,,5.334453751150931,1.5,True,14.41691508900268,21.62537263350402,14.41691508900268,21.62537263350402,116,False,Kenya,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
VUT,"['Bislama', 'English', 'French']",321409,45.7313,2023,,,,5.507058033583555,0.45731299999999997,,5.334453751150931,1.5,True,13.434550944788962,20.151826417183443,13.434550944788962,20.151826417183443,117,False,Vanuatu,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SAU,['Arabic'],35300280,100.0,2024,,,,7.547778150202912,1.0,,5.334453751150931,0.5,True,40.26327346620496,20.13163673310248,40.26327346620496,20.13163673310248,118,False,Saudi Arabia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
