alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_multi_count,bayes_hdi_prob,bayes_rank,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_multi_count_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
NZL,"['English', 'Māori', 'New Zealand Sign Language']",5324700,96.1638,2023,2025 Q1 P,65000.0,121.0,6.726295144126775,0.961638,False,4.812920038045028,p10,0.05,4.815572229111593,4.812920038045028,0.3792778132687557,1.25,1.0,0.75,1.25,False,2.4532678914514494,3.066584864314312,2.4532678914514494,2.4532678914514494,55,False,New Zealand,,25-05-2025,multi,100.0,83.30619409314376,76.86944360133879,90.04351290988859,2.519526896141832e-32,7.064016059519151e-38,3.175291839360948e-32,100,0.9,214,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
OMN,['Arabic'],5343630,95.2517,2024,,,,6.727836379384905,0.952517,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.4359646129238213,1.826973459692866,2.4359646129238213,2.4359646129238213,56,False,Oman,,25-05-2025,unknown,,65.79532261439938,62.32360204649656,69.3735392868545,1.448468342133769e-26,5.159988205815838e-29,5.343873315119921e-26,100,0.9,195,False,False,True,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
SGP,"['English', 'Chinese', 'Malay', 'Tamil']",6110200,94.3776,2024,,,,6.786055425868549,0.9437760000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.25,False,2.4344964763461063,3.043120595432633,2.4344964763461063,2.4344964763461063,57,False,Singapore,,25-05-2025,multi,100.0,66.23827219518951,62.88504860463455,69.73498629819548,8.561916334942307e-27,3.613530324325901e-29,3.075520738317407e-26,100,0.9,196,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
DOM,['Spanish'],10771504,91.0022,2024,,,,7.032276347058217,0.910022,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,1.0,False,2.432599645688619,2.432599645688619,2.432599645688619,2.432599645688619,58,False,Dominican Republic,,25-05-2025,unknown,,68.85413115583636,65.73055879983916,72.08095449369668,5.33675109459682e-28,3.576512543155253e-30,1.8678775101494294e-27,100,0.9,201,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
IRN,['Persian (Farsi)'],85961000,79.6309,2023,,,,7.934301459075755,0.7963089999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.4016689321746854,1.8012516991310141,2.4016689321746854,2.4016689321746854,59,False,"Iran, Islamic Republic of",,25-05-2025,unknown,,81.97817541662982,76.86989842979295,87.28425437669266,2.4809115270281627e-32,1.0811000174747519e-36,3.1738295172319056e-32,100,0.9,215,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
JAM,"['English', 'Jamaican Patois']",2825544,89.473,2023,2025 Q2 P,83000.0,76.0,6.4511020746169,0.89473,False,4.919083324808191,p10,0.05,4.815572229111593,4.919083324808191,0.4130628100405039,1.25,1.0,0.75,1.25,False,2.3841962921707305,2.9802453652134133,2.3841962921707305,2.3841962921707305,60,False,Jamaica,,25-05-2025,unknown,,55.52271523134765,50.891942179281244,60.26634419264643,1.3642123473999771e-21,4.0432829216730277e-25,4.0230866525458414e-21,100,0.9,182,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
IRQ,"['Arabic', 'Aramaic', 'Sorani']",46118793,81.7291,2023,,,,7.663877932614442,0.817291,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.3809381511227303,1.7857036133420476,2.3809381511227303,2.3809381511227303,61,False,Iraq,,25-05-2025,unknown,,74.59694005232454,70.36616298160439,78.92988028355389,8.121483821061692e-30,4.153652409820474e-33,1.9396702612649666e-29,100,0.9,206,False,False,True,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
AZE,['Azerbaijani'],10241722,89.0,2023,,,,7.010372983224158,0.89,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.371668308304684,1.778751231228513,2.371668308304684,2.371668308304684,62,False,Azerbaijan,,25-05-2025,unknown,,63.7399480597189,60.53232371482397,67.04406828415229,9.00635746385028e-26,5.122619086318868e-28,3.1126707521941868e-25,100,0.9,191,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
BHR,['Arabic'],1594654,100.0,2024,,,,6.202666466583464,1.0,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.3577689676735747,1.768326725755181,2.3577689676735747,2.3577689676735747,63,False,Bahrain,,25-05-2025,unknown,,56.017854094257494,51.81459669764359,60.29643608032278,4.413147918263125e-22,3.925396771188593e-25,1.6280162585026258e-21,100,0.9,184,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
UKR,['Ukrainian'],32862000,82.3755,2023,,,,7.516693991312429,0.823755,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.25,1.0,0.75,0.75,False,2.3536818187110415,1.765261364033281,2.3536818187110415,2.3536818187110415,64,False,Ukraine,,25-05-2025,unknown,,69.75050970790026,65.77570242355272,73.74689439789033,6.249437470290838e-28,6.916309854710024e-31,1.786655924872308e-27,100,0.9,200,False,False,False,bayes-v1,bayes-v1_20251220T164958Z,no-language,p10,0.05,1.25,1.0,0.75,100,1500,1500,0.9,0,0.9
